,Unnamed: 0,images,condition,imgB,imgA,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,numLoop.thisRepN,numLoop.thisTrialN,numLoop.thisN,numLoop.thisIndex,response.keys,response.rt,rating,rt,key_resp_2.keys,key_resp_2.rt,numResp.keys,numResp.corr,numResp.Alocation,numResp.rt,date,frameRate,expName,session,participant,Unnamed: 27,img_x,density_x,hull_x,density_y,hull_y,img_y,density,hull,img
20,3235,images/k20.bmp,gestalt,,,0.0,14.0,14.0,19.0,,,,,,,4.0,3.418,,,,,,,2016_Aug_24_1628,59.9268471105,Gestalt_exp1,1,18460,,20,0.0390237046126,0.291833333333,0.0390237046126,0.291833333333,20,0.0390237046126,0.291833333333,20
21,3383,images/k20.bmp,gestalt,,,0.0,1.0,1.0,19.0,,,,,,,5.0,3.735,,,,,,,2016_Apr_18_1405,59.9667733237,Gestalt_exp1,1,18913,,20,0.0390237046126,0.291833333333,0.0390237046126,0.291833333333,20,0.0390237046126,0.291833333333,20
22,3560,images/k20.bmp,gestalt,,,0.0,17.0,17.0,19.0,,,,,,,2.0,1.452,,,,,,,2016_Apr_21_1208,60.2507825283,Gestalt_exp1,1,19201,,20,0.0390237046126,0.291833333333,0.0390237046126,0.291833333333,20,0.0390237046126,0.291833333333,20
23,3746,images/k20.bmp,gestalt,,,0.0,42.0,42.0,19.0,,,,,,,4.0,3.103,,,,,,,2016_Apr_21_1103,59.9290733528,Gestalt_exp1,1,19873,,20,0.0390237046126,0.291833333333,0.0390237046126,0.291833333333,20,0.0390237046126,0.291833333333,20
24,3872,images/k20.bmp,gestalt,,,0.0,7.0,7.0,19.0,,,,,,,5.0,1.385,,,,,,,2016_Apr_27_1412,59.9222239049,Gestalt_exp1,1,20353,,20,0.0390237046126,0.291833333333,0.0390237046126,0.291833333333,20,0.0390237046126,0.291833333333,20
25,4050,images/k20.bmp,gestalt,,,0.0,24.0,24.0,19.0,,,,,,,4.0,1.151,,,,,,,2016_Apr_25_1609,59.9377230175,Gestalt_exp1,1,20395,,20,0.0390237046126,0.291833333333,0.0390237046126,0.291833333333,20,0.0390237046126,0.291833333333,20
26,4208,images/k20.bmp,gestalt,,,0.0,21.0,21.0,19.0,,,,,,,5.0,1.886,,,,,,,2016_May_02_1605,59.9351535495,Gestalt_exp1,1,20404,,20,0.0390237046126,0.291833333333,0.0390237046126,0.291833333333,20,0.0390237046126,0.291833333333,20
27,4385,images/k20.bmp,gestalt,,,0.0,37.0,37.0,19.0,,,,,,,9.0,1.884,,,,,,,2016_Apr_28_1503,59.9133219629,Gestalt_exp1,1,20467,,20,0.0390237046126,0.291833333333,0.0390237046126,0.291833333333,20,0.0390237046126,0.291833333333,20
28,4558,images/k20.bmp,gestalt,,,0.0,49.0,49.0,19.0,,,,,,,6.0,1.886,,,,,,,2016_Apr_18_1604,59.9477460481,Gestalt_exp1,1,20650,,20,0.0390237046126,0.291833333333,0.0390237046126,0.291833333333,20,0.0390237046126,0.291833333333,20
29,4684,images/k20.bmp,gestalt,,,0.0,14.0,14.0,19.0,,,,,,,2.0,1.368,,,,,,,2016_May_03_1507,59.9243641891,Gestalt_exp1,1,20755,,20,0.0390237046126,0.291833333333,0.0390237046126,0.291833333333,20,0.0390237046126,0.291833333333,20
30,4865,images/k20.bmp,gestalt,,,0.0,34.0,34.0,19.0,,,,,,,4.0,1.167,,,,,,,2016_Apr_28_1404,59.7556663328,Gestalt_exp1,1,20803,,20,0.0390237046126,0.291833333333,0.0390237046126,0.291833333333,20,0.0390237046126,0.291833333333,20
31,5074,images/k20.bmp,gestalt,,,0.0,82.0,82.0,19.0,,,,,,,5.0,1.902,,,,,,,2016_Apr_28_1007,59.9207685989,Gestalt_exp1,1,20959,,20,0.0390237046126,0.291833333333,0.0390237046126,0.291833333333,20,0.0390237046126,0.291833333333,20
32,5180,images/k20.bmp,gestalt,,,0.0,27.0,27.0,19.0,,,,,,,9.0,1.818,,,,,,,2016_Oct_10_1709,59.9226519495,Gestalt_exp1,1,21055,,20,0.0390237046126,0.291833333333,0.0390237046126,0.291833333333,20,0.0390237046126,0.291833333333,20
33,5381,images/k20.bmp,gestalt,,,0.0,67.0,67.0,19.0,,,,,,,6.0,1.619,,,,,,,2016_Apr_21_1508,59.9182861812,Gestalt_exp1,1,21064,,20,0.0390237046126,0.291833333333,0.0390237046126,0.291833333333,20,0.0390237046126,0.291833333333,20
34,5526,images/k20.bmp,gestalt,,,0.0,51.0,51.0,19.0,,,,,,,4.0,1.236,,,,,,,2016_Apr_28_0910,59.91006999,Gestalt_exp1,1,21127,,20,0.0390237046126,0.291833333333,0.0390237046126,0.291833333333,20,0.0390237046126,0.291833333333,20
35,5641,images/k20.bmp,gestalt,,,0.0,5.0,5.0,19.0,,,,,,,6.0,3.186,,,,,,,2016_Oct_03_1706,59.9135787127,Gestalt_exp1,1,21271,,20,0.0390237046126,0.291833333333,0.0390237046126,0.291833333333,20,0.0390237046126,0.291833333333,20
36,5830,images/k20.bmp,gestalt,,,0.0,33.0,33.0,19.0,,,,,,,8.0,2.719,,,,,,,2016_Oct_10_1311,59.9078451593,Gestalt_exp1,1,21322,,20,0.0390237046126,0.291833333333,0.0390237046126,0.291833333333,20,0.0390237046126,0.291833333333,20
37,5972,images/k20.bmp,gestalt,,,0.0,14.0,14.0,19.0,,,,,,,8.0,1.369,,,,,,,2016_Apr_25_1410,59.9193989637,Gestalt_exp1,1,21436,,20,0.0390237046126,0.291833333333,0.0390237046126,0.291833333333,20,0.0390237046126,0.291833333333,20
38,6127,images/k20.bmp,gestalt,,,0.0,8.0,8.0,19.0,,,,,,,3.0,1.619,,,,,,,2016_May_03_1405,59.9272752211,Gestalt_exp1,1,21511,,20,0.0390237046126,0.291833333333,0.0390237046126,0.291833333333,20,0.0390237046126,0.291833333333,20
39,6337,images/k20.bmp,gestalt,,,0.0,57.0,57.0,19.0,,,,,,,6.0,2.368,,,,,,,2016_May_03_0911,59.9214534399,Gestalt_exp1,1,21625,,20,0.0390237046126,0.291833333333,0.0390237046126,0.291833333333,20,0.0390237046126,0.291833333333,20
