,participant,img,Gestalt-scrambled,Inverted-Gestalt,Inverted-scrambled,gestalt,inverted,scrambled,diffGestalt,diffInv,hullDiff,densDiff
416,15643,27,0.0,0.0,0.0,4.0,6.0,3.0,1.0,3.0,0.00161111111111,0.00196512124492
417,15643,28,0.0,0.0,0.0,4.0,4.0,5.0,-1.0,-1.0,-0.0456555555556,0.00137553891697
418,15643,29,0.0,0.0,0.0,2.0,3.0,5.0,-3.0,-2.0,-0.173477777778,0.00484626502237
419,15643,30,0.0,1.0,1.0,3.0,6.0,6.0,-3.0,0.0,-0.208311111111,0.0145634808792
420,15928,1,1.0,0.0,0.0,6.0,4.0,4.0,2.0,0.0,-0.234444444444,0.00460912344787
421,15928,2,0.0,,,5.0,,5.0,0.0,,-0.290244444444,0.0111467933226
422,15928,3,0.0,1.0,1.0,6.0,6.0,5.0,1.0,1.0,-0.270766666667,0.0101584533402
423,15928,4,1.0,0.0,0.0,5.0,6.0,5.0,0.0,1.0,-0.114577777778,0.00844681479993
424,15928,5,0.0,0.0,0.0,6.0,5.0,4.0,2.0,1.0,-0.189,0.00229155864197
425,15928,6,0.0,1.0,0.0,4.0,4.0,5.0,-1.0,-1.0,-0.377855555556,0.00889073106128
426,15928,7,1.0,,,4.0,,5.0,-1.0,,0.0646666666667,-0.00307759954249
427,15928,8,0.0,,,4.0,,6.0,-2.0,,-0.153788888889,0.0157562191299
428,15928,9,1.0,0.0,0.0,5.0,5.0,6.0,-1.0,-1.0,-0.0237444444444,0.00886377451772
429,15928,10,0.0,1.0,1.0,5.0,5.0,4.0,1.0,1.0,0.105588888889,0.00570845207801
430,15928,11,1.0,,,6.0,,6.0,0.0,,0.0168555555556,0.00136234284212
431,15928,12,1.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0186777777778,0.00897918503964
432,15928,13,0.0,,,6.0,,5.0,1.0,,-0.174311111111,0.00590556020577
433,15928,14,1.0,0.0,1.0,7.0,6.0,5.0,2.0,1.0,-0.130788888889,0.0154222394647
434,15928,15,0.0,1.0,0.0,5.0,6.0,4.0,1.0,2.0,0.00115555555556,0.00133165305282
435,15928,16,0.0,1.0,0.0,4.0,4.0,5.0,-1.0,-1.0,-0.0309666666667,0.00365602306784
436,15928,17,1.0,,,6.0,,6.0,0.0,,-0.0370333333333,0.000716594707261
437,15928,18,0.0,0.0,1.0,5.0,5.0,5.0,0.0,0.0,-0.125733333333,0.00675204284885
438,15928,19,0.0,0.0,0.0,4.0,5.0,5.0,-1.0,0.0,-0.0877555555556,0.00770715905724
439,15928,20,0.0,,,5.0,,4.0,1.0,,0.106566666667,-0.00766691666074
440,15928,21,0.0,1.0,1.0,5.0,6.0,5.0,0.0,1.0,-0.0711111111111,0.00385365895387
441,15928,22,1.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0350555555556,-0.000264336548255
442,15928,23,0.0,0.0,1.0,5.0,4.0,5.0,0.0,-1.0,-0.131633333333,0.00444969970055
443,15928,24,1.0,0.0,0.0,4.0,4.0,5.0,-1.0,-1.0,0.1048,7.03192645681e-05
444,15928,25,0.0,1.0,1.0,6.0,5.0,4.0,2.0,1.0,-0.0874555555556,0.000602427939496
445,15928,26,1.0,0.0,0.0,6.0,5.0,6.0,0.0,-1.0,-0.0972888888889,0.0107651195987
446,15928,27,1.0,0.0,0.0,6.0,6.0,5.0,1.0,1.0,0.00161111111111,0.00196512124492
447,15928,28,0.0,1.0,0.0,4.0,6.0,6.0,-2.0,0.0,-0.0456555555556,0.00137553891697
448,15928,29,1.0,0.0,0.0,3.0,6.0,5.0,-2.0,1.0,-0.173477777778,0.00484626502237
449,15928,30,1.0,0.0,0.0,6.0,5.0,5.0,1.0,0.0,-0.208311111111,0.0145634808792
450,16522,1,1.0,0.0,1.0,5.0,6.0,4.0,1.0,2.0,-0.234444444444,0.00460912344787
451,16522,2,0.0,,,5.0,,4.0,1.0,,-0.290244444444,0.0111467933226
452,16522,3,1.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,-0.270766666667,0.0101584533402
453,16522,4,1.0,0.0,0.0,7.0,6.0,4.0,3.0,2.0,-0.114577777778,0.00844681479993
454,16522,5,1.0,1.0,1.0,4.0,4.0,6.0,-2.0,-2.0,-0.189,0.00229155864197
