	Unnamed: 0	images	condition	imgB	imgA	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	numLoop.thisRepN	numLoop.thisTrialN	numLoop.thisN	numLoop.thisIndex	response.keys	response.rt	rating.response	rating.rt	key_resp_2.keys	key_resp_2.rt	numResp.keys	acc	Alocation	rt	date	frameRate	expName	session	participant	Unnamed: 27	img
29	114		Inverted-Gestalt	images/k14.bmp	images/INVk14.bmp					0.0	29.0	29.0	61.0							right	1.0	right	0.949523210526	2016_Oct_17_1007	59.9207685989	Gestalt_exp1	1	5635		14
30	115		Gestalt-scrambled	images/i16.bmp	images/k16.bmp					0.0	30.0	30.0	15.0							left	0.0	right	0.666651964188	2016_Oct_17_1007	59.9207685989	Gestalt_exp1	1	5635		16
31	116		Gestalt-scrambled	images/i23.bmp	images/k23.bmp					0.0	31.0	31.0	22.0							left	1.0	left	0.633549928665	2016_Oct_17_1007	59.9207685989	Gestalt_exp1	1	5635		23
32	117		Gestalt-scrambled	images/i06.bmp	images/k06.bmp					0.0	32.0	32.0	5.0							left	0.0	right	0.767614841461	2016_Oct_17_1007	59.9207685989	Gestalt_exp1	1	5635		6
33	118		Inverted-Gestalt	images/k23.bmp	images/INVk23.bmp					0.0	33.0	33.0	68.0							left	1.0	left	0.48356795311	2016_Oct_17_1007	59.9207685989	Gestalt_exp1	1	5635		23
34	119		Inverted-Gestalt	images/k01.bmp	images/INVk01.bmp					0.0	34.0	34.0	53.0							left	0.0	right	0.400052070618	2016_Oct_17_1007	59.9207685989	Gestalt_exp1	1	5635		1
35	120		Inverted-scrambled	images/i23.bmp	images/INVk23.bmp					0.0	35.0	35.0	45.0							right	1.0	right	0.917405128479	2016_Oct_17_1007	59.9207685989	Gestalt_exp1	1	5635		23
36	121		Inverted-scrambled	images/i28.bmp	images/INVk28.bmp					0.0	36.0	36.0	50.0							left	0.0	right	0.516913890839	2016_Oct_17_1007	59.9207685989	Gestalt_exp1	1	5635		28
37	122		Inverted-Gestalt	images/k24.bmp	images/INVk24.bmp					0.0	37.0	37.0	69.0							left	0.0	right	0.333271980286	2016_Oct_17_1007	59.9207685989	Gestalt_exp1	1	5635		24
38	123		Inverted-Gestalt	images/k19.bmp	images/INVk19.bmp					0.0	38.0	38.0	65.0							right	1.0	right	0.516908884048	2016_Oct_17_1007	59.9207685989	Gestalt_exp1	1	5635		19
39	124		Inverted-scrambled	images/i04.bmp	images/INVk04.bmp					0.0	39.0	39.0	32.0							right	1.0	right	0.50021982193	2016_Oct_17_1007	59.9207685989	Gestalt_exp1	1	5635		4
40	125		Gestalt-scrambled	images/i11.bmp	images/k11.bmp					0.0	40.0	40.0	10.0							left	1.0	left	1.91686296463	2016_Oct_17_1007	59.9207685989	Gestalt_exp1	1	5635		11
41	126		Gestalt-scrambled	images/i10.bmp	images/k10.bmp					0.0	41.0	41.0	9.0							left	1.0	left	0.950000047684	2016_Oct_17_1007	59.9207685989	Gestalt_exp1	1	5635		10
42	127		Inverted-Gestalt	images/k25.bmp	images/INVk25.bmp					0.0	42.0	42.0	70.0							right	0.0	left	1.00021505356	2016_Oct_17_1007	59.9207685989	Gestalt_exp1	1	5635		25
43	128		Gestalt-scrambled	images/i12.bmp	images/k12.bmp					0.0	43.0	43.0	11.0							left	0.0	right	0.566090106964	2016_Oct_17_1007	59.9207685989	Gestalt_exp1	1	5635		12
44	129		Gestalt-scrambled	images/i25.bmp	images/k25.bmp					0.0	44.0	44.0	24.0							right	0.0	left	0.766335010529	2016_Oct_17_1007	59.9207685989	Gestalt_exp1	1	5635		25
45	130		Inverted-Gestalt	images/k04.bmp	images/INVk04.bmp					0.0	45.0	45.0	55.0							left	0.0	right	1.04877305031	2016_Oct_17_1007	59.9207685989	Gestalt_exp1	1	5635		4
46	131		Gestalt-scrambled	images/i09.bmp	images/k09.bmp					0.0	46.0	46.0	8.0							right	1.0	right	1.18350887299	2016_Oct_17_1007	59.9207685989	Gestalt_exp1	1	5635		9
47	132		Inverted-scrambled	images/i30.bmp	images/INVk30.bmp					0.0	47.0	47.0	52.0							left	0.0	right	0.93327498436	2016_Oct_17_1007	59.9207685989	Gestalt_exp1	1	5635		30
48	133		Inverted-scrambled	images/i16.bmp	images/INVk16.bmp					0.0	48.0	48.0	40.0							left	0.0	right	0.333561897278	2016_Oct_17_1007	59.9207685989	Gestalt_exp1	1	5635		16
49	134		Gestalt-scrambled	images/i08.bmp	images/k08.bmp					0.0	49.0	49.0	7.0							right	0.0	left	0.783499956131	2016_Oct_17_1007	59.9207685989	Gestalt_exp1	1	5635		8
