,images,condition,acc,density,hull
86,images/INVk16.bmp,,,0.025313363245,0.603511111111
87,images/INVk18.bmp,,,0.0364456417896,0.273577777778
88,images/INVk19.bmp,,,0.0318456894452,0.204844444444
89,images/INVk21.bmp,,,0.0521456467396,0.613488888889
90,images/INVk22.bmp,,,0.0221115186587,0.732966666667
91,images/INVk23.bmp,,,0.0283700265146,0.446866666667
92,images/INVk24.bmp,,,0.0158904895975,0.557166666667
93,images/INVk25.bmp,,,0.0301452682364,0.463766666667
94,images/INVk26.bmp,,,0.0529021035864,0.390111111111
95,images/INVk27.bmp,,,0.0323761833132,0.614766666667
96,images/INVk28.bmp,,,0.0282707687096,0.526711111111
97,images/INVk29.bmp,,,0.0173569016466,0.433477777778
98,images/INVk30.bmp,,,0.0524548937765,0.257222222222
99,images/k03.bmp,,,0.0262435435316,0.284455555556
100,images/k07.bmp,,,0.0620997123945,0.628844444444
101,images/k08.bmp,,,0.131622258061,0.288477777778
102,images/k11.bmp,,,0.0883719165856,0.655833333333
103,images/k13.bmp,,,0.0527163088031,0.355022222222
104,images/k17.bmp,,,0.0111587633088,0.235755555556
105,images/k20.bmp,,,0.0215647805605,0.291833333333
