,images,condition,rating,density,hull
0,images/INVk01.bmp,inverted,4.62337662338,0.0420865447673,0.405377777778
1,images/INVk03.bmp,inverted,5.05194805195,0.0374593643357,0.284544444444
2,images/INVk04.bmp,inverted,4.88311688312,0.122270424613,0.177222222222
3,images/INVk05.bmp,inverted,4.63636363636,0.0751783527773,0.422333333333
4,images/INVk06.bmp,inverted,5.09090909091,0.142448843526,0.320022222222
5,images/INVk09.bmp,inverted,4.66233766234,0.087581269236,0.375122222222
6,images/INVk10.bmp,inverted,4.36363636364,0.113502872114,0.428633333333
7,images/INVk12.bmp,inverted,4.71428571429,0.104547682951,0.496866666667
8,images/INVk14.bmp,inverted,5.16883116883,0.166420222686,0.150577777778
9,images/INVk15.bmp,inverted,4.54545454545,0.0474795879747,0.478777777778
10,images/INVk16.bmp,inverted,4.27272727273,0.037328990267,0.603511111111
11,images/INVk18.bmp,inverted,4.74025974026,0.0529845589522,0.273577777778
12,images/INVk19.bmp,inverted,4.2987012987,0.0541096191851,0.204844444444
13,images/INVk21.bmp,inverted,4.51948051948,0.0871729714803,0.613488888889
14,images/INVk22.bmp,inverted,4.42857142857,0.0333497811158,0.732966666667
15,images/INVk23.bmp,inverted,4.55844155844,0.0380221297479,0.446866666667
16,images/INVk24.bmp,inverted,4.03896103896,0.0255343988706,0.557166666667
17,images/INVk25.bmp,inverted,4.77922077922,0.0459720307425,0.463766666667
18,images/INVk26.bmp,inverted,4.8961038961,0.0800941094313,0.390111111111
19,images/INVk27.bmp,inverted,4.76623376623,0.0470815448947,0.614766666667
20,images/INVk28.bmp,inverted,4.79220779221,0.040997235682,0.526711111111
21,images/INVk29.bmp,inverted,4.49350649351,0.025977612773,0.433477777778
22,images/INVk30.bmp,inverted,4.93506493506,0.0753787475476,0.257222222222
23,images/i01.bmp,scrambled,4.42857142857,0.0374774213194,0.639822222222
24,images/i02.bmp,scrambled,3.85714285714,0.0812426755188,0.556033333333
25,images/i03.bmp,scrambled,4.33766233766,0.0273009109955,0.555222222222
26,images/i04.bmp,scrambled,4.44155844156,0.113823609813,0.291833333333
