images,condition,imgB,imgA,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,numLoop.thisRepN,numLoop.thisTrialN,numLoop.thisN,numLoop.thisIndex,response.keys,response.rt,rating.response,rating.rt,key_resp_2.keys,key_resp_2.rt,numResp.keys,numResp.corr,numResp.Alocation,numResp.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,space,64.2648339272,,,,,,,,,2016_Apr_15_1507,59.7114299096,Gestalt_exp1,001,16891,
images/INVk21.bmp,inverted,,,0,0,0,73,,,,,,,4,15.852,,,,,,,2016_Apr_15_1507,59.7114299096,Gestalt_exp1,001,16891,
images/i11.bmp,scrambled,,,0,1,1,40,,,,,,,8,4.885,,,,,,,2016_Apr_15_1507,59.7114299096,Gestalt_exp1,001,16891,
images/k25.bmp,gestalt,,,0,2,2,24,,,,,,,8,3.018,,,,,,,2016_Apr_15_1507,59.7114299096,Gestalt_exp1,001,16891,
images/INVk19.bmp,inverted,,,0,3,3,72,,,,,,,9,1.885,,,,,,,2016_Apr_15_1507,59.7114299096,Gestalt_exp1,001,16891,
images/INVk27.bmp,inverted,,,0,4,4,79,,,,,,,9,1.668,,,,,,,2016_Apr_15_1507,59.7114299096,Gestalt_exp1,001,16891,
images/i16.bmp,scrambled,,,0,5,5,45,,,,,,,8,2.636,,,,,,,2016_Apr_15_1507,59.7114299096,Gestalt_exp1,001,16891,
images/INVk12.bmp,inverted,,,0,6,6,67,,,,,,,6,3.319,,,,,,,2016_Apr_15_1507,59.7114299096,Gestalt_exp1,001,16891,
images/INVk30.bmp,inverted,,,0,7,7,82,,,,,,,6,2.285,,,,,,,2016_Apr_15_1507,59.7114299096,Gestalt_exp1,001,16891,
images/k14.bmp,gestalt,,,0,8,8,13,,,,,,,3,2.518,,,,,,,2016_Apr_15_1507,59.7114299096,Gestalt_exp1,001,16891,
images/i20.bmp,scrambled,,,0,9,9,49,,,,,,,3,2.702,,,,,,,2016_Apr_15_1507,59.7114299096,Gestalt_exp1,001,16891,
images/INVk10.bmp,inverted,,,0,10,10,66,,,,,,,4,2.152,,,,,,,2016_Apr_15_1507,59.7114299096,Gestalt_exp1,001,16891,
images/k13.bmp,gestalt,,,0,11,11,12,,,,,,,7,2.785,,,,,,,2016_Apr_15_1507,59.7114299096,Gestalt_exp1,001,16891,
images/i21.bmp,scrambled,,,0,12,12,50,,,,,,,5,1.785,,,,,,,2016_Apr_15_1507,59.7114299096,Gestalt_exp1,001,16891,
images/INVk23.bmp,inverted,,,0,13,13,75,,,,,,,4,1.734,,,,,,,2016_Apr_15_1507,59.7114299096,Gestalt_exp1,001,16891,
images/k29.bmp,gestalt,,,0,14,14,28,,,,,,,4,3.336,,,,,,,2016_Apr_15_1507,59.7114299096,Gestalt_exp1,001,16891,
images/i26.bmp,scrambled,,,0,15,15,55,,,,,,,3,1.752,,,,,,,2016_Apr_15_1507,59.7114299096,Gestalt_exp1,001,16891,
images/INVk01.bmp,inverted,,,0,16,16,60,,,,,,,7,2.152,,,,,,,2016_Apr_15_1507,59.7114299096,Gestalt_exp1,001,16891,
images/INVk16.bmp,inverted,,,0,17,17,70,,,,,,,4,2.135,,,,,,,2016_Apr_15_1507,59.7114299096,Gestalt_exp1,001,16891,
images/k18.bmp,gestalt,,,0,18,18,17,,,,,,,4,1.768,,,,,,,2016_Apr_15_1507,59.7114299096,Gestalt_exp1,001,16891,
images/k19.bmp,gestalt,,,0,19,19,18,,,,,,,5,2.052,,,,,,,2016_Apr_15_1507,59.7114299096,Gestalt_exp1,001,16891,
images/i22.bmp,scrambled,,,0,20,20,51,,,,,,,7,2.085,,,,,,,2016_Apr_15_1507,59.7114299096,Gestalt_exp1,001,16891,
images/INVk06.bmp,inverted,,,0,21,21,64,,,,,,,6,2.502,,,,,,,2016_Apr_15_1507,59.7114299096,Gestalt_exp1,001,16891,
images/INVk28.bmp,inverted,,,0,22,22,80,,,,,,,5,2.251,,,,,,,2016_Apr_15_1507,59.7114299096,Gestalt_exp1,001,16891,
images/i06.bmp,scrambled,,,0,23,23,35,,,,,,,6,1.835,,,,,,,2016_Apr_15_1507,59.7114299096,Gestalt_exp1,001,16891,
images/INVk05.bmp,inverted,,,0,24,24,63,,,,,,,5,2.736,,,,,,,2016_Apr_15_1507,59.7114299096,Gestalt_exp1,001,16891,
images/i28.bmp,scrambled,,,0,25,25,57,,,,,,,3,2.486,,,,,,,2016_Apr_15_1507,59.7114299096,Gestalt_exp1,001,16891,
images/i15.bmp,scrambled,,,0,26,26,44,,,,,,,4,2.802,,,,,,,2016_Apr_15_1507,59.7114299096,Gestalt_exp1,001,16891,
images/i08.bmp,scrambled,,,0,27,27,37,,,,,,,2,2.602,,,,,,,2016_Apr_15_1507,59.7114299096,Gestalt_exp1,001,16891,
images/i07.bmp,scrambled,,,0,28,28,36,,,,,,,2,2.102,,,,,,,2016_Apr_15_1507,59.7114299096,Gestalt_exp1,001,16891,
images/k04.bmp,gestalt,,,0,29,29,3,,,,,,,7,2.435,,,,,,,2016_Apr_15_1507,59.7114299096,Gestalt_exp1,001,16891,
images/k16.bmp,gestalt,,,0,30,30,15,,,,,,,4,1.751,,,,,,,2016_Apr_15_1507,59.7114299096,Gestalt_exp1,001,16891,
images/i10.bmp,scrambled,,,0,31,31,39,,,,,,,6,1.751,,,,,,,2016_Apr_15_1507,59.7114299096,Gestalt_exp1,001,16891,
images/i03.bmp,scrambled,,,0,32,32,32,,,,,,,7,2.402,,,,,,,2016_Apr_15_1507,59.7114299096,Gestalt_exp1,001,16891,
images/i04.bmp,scrambled,,,0,33,33,33,,,,,,,7,2.068,,,,,,,2016_Apr_15_1507,59.7114299096,Gestalt_exp1,001,16891,
images/i13.bmp,scrambled,,,0,34,34,42,,,,,,,7,2.402,,,,,,,2016_Apr_15_1507,59.7114299096,Gestalt_exp1,001,16891,
images/i01.bmp,scrambled,,,0,35,35,30,,,,,,,4,1.686,,,,,,,2016_Apr_15_1507,59.7114299096,Gestalt_exp1,001,16891,
images/INVk15.bmp,inverted,,,0,36,36,69,,,,,,,4,2.153,,,,,,,2016_Apr_15_1507,59.7114299096,Gestalt_exp1,001,16891,
images/INVk14.bmp,inverted,,,0,37,37,68,,,,,,,4,2.235,,,,,,,2016_Apr_15_1507,59.7114299096,Gestalt_exp1,001,16891,
images/k23.bmp,gestalt,,,0,38,38,22,,,,,,,6,1.668,,,,,,,2016_Apr_15_1507,59.7114299096,Gestalt_exp1,001,16891,
images/i27.bmp,scrambled,,,0,39,39,56,,,,,,,5,2.001,,,,,,,2016_Apr_15_1507,59.7114299096,Gestalt_exp1,001,16891,
images/i17.bmp,scrambled,,,0,40,40,46,,,,,,,7,2.152,,,,,,,2016_Apr_15_1507,59.7114299096,Gestalt_exp1,001,16891,
