images,condition,imgB,imgA,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,numLoop.thisRepN,numLoop.thisTrialN,numLoop.thisN,numLoop.thisIndex,response.keys,response.rt,rating.response,rating.rt,key_resp_2.keys,key_resp_2.rt,numResp.keys,numResp.corr,numResp.Alocation,numResp.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,space,63.233096838,,,,,,,,,2016_Oct_24_1105,59.9243641891,Gestalt_exp1,001,24355,
images/i18.bmp,scrambled,,,0,0,0,47,,,,,,,5,11.402,,,,,,,2016_Oct_24_1105,59.9243641891,Gestalt_exp1,001,24355,
images/k02.bmp,gestalt,,,0,1,1,1,,,,,,,2,6.651,,,,,,,2016_Oct_24_1105,59.9243641891,Gestalt_exp1,001,24355,
images/i10.bmp,scrambled,,,0,2,2,39,,,,,,,3,8.119,,,,,,,2016_Oct_24_1105,59.9243641891,Gestalt_exp1,001,24355,
images/INVk15.bmp,inverted,,,0,3,3,69,,,,,,,3,7.252,,,,,,,2016_Oct_24_1105,59.9243641891,Gestalt_exp1,001,24355,
images/i25.bmp,scrambled,,,0,4,4,54,,,,,,,3,7.319,,,,,,,2016_Oct_24_1105,59.9243641891,Gestalt_exp1,001,24355,
images/i05.bmp,scrambled,,,0,5,5,34,,,,,,,3,9.736,,,,,,,2016_Oct_24_1105,59.9243641891,Gestalt_exp1,001,24355,
images/i21.bmp,scrambled,,,0,6,6,50,,,,,,,4,6.269,,,,,,,2016_Oct_24_1105,59.9243641891,Gestalt_exp1,001,24355,
images/INVk22.bmp,inverted,,,0,7,7,74,,,,,,,2,4.102,,,,,,,2016_Oct_24_1105,59.9243641891,Gestalt_exp1,001,24355,
images/INVk14.bmp,inverted,,,0,8,8,68,,,,,,,3,4.818,,,,,,,2016_Oct_24_1105,59.9243641891,Gestalt_exp1,001,24355,
images/i29.bmp,scrambled,,,0,9,9,58,,,,,,,2,4.251,,,,,,,2016_Oct_24_1105,59.9243641891,Gestalt_exp1,001,24355,
images/k27.bmp,gestalt,,,0,10,10,26,,,,,,,3,4.702,,,,,,,2016_Oct_24_1105,59.9243641891,Gestalt_exp1,001,24355,
images/k10.bmp,gestalt,,,0,11,11,9,,,,,,,3,3.619,,,,,,,2016_Oct_24_1105,59.9243641891,Gestalt_exp1,001,24355,
images/k14.bmp,gestalt,,,0,12,12,13,,,,,,,4,3.102,,,,,,,2016_Oct_24_1105,59.9243641891,Gestalt_exp1,001,24355,
images/k23.bmp,gestalt,,,0,13,13,22,,,,,,,2,3.634,,,,,,,2016_Oct_24_1105,59.9243641891,Gestalt_exp1,001,24355,
images/INVk27.bmp,inverted,,,0,14,14,79,,,,,,,2,3.935,,,,,,,2016_Oct_24_1105,59.9243641891,Gestalt_exp1,001,24355,
images/INVk16.bmp,inverted,,,0,15,15,70,,,,,,,2,3.553,,,,,,,2016_Oct_24_1105,59.9243641891,Gestalt_exp1,001,24355,
images/k06.bmp,gestalt,,,0,16,16,5,,,,,,,3,4.852,,,,,,,2016_Oct_24_1105,59.9243641891,Gestalt_exp1,001,24355,
images/k18.bmp,gestalt,,,0,17,17,17,,,,,,,3,3.651,,,,,,,2016_Oct_24_1105,59.9243641891,Gestalt_exp1,001,24355,
images/i20.bmp,scrambled,,,0,18,18,49,,,,,,,2,3.902,,,,,,,2016_Oct_24_1105,59.9243641891,Gestalt_exp1,001,24355,
images/i16.bmp,scrambled,,,0,19,19,45,,,,,,,2,3.752,,,,,,,2016_Oct_24_1105,59.9243641891,Gestalt_exp1,001,24355,
images/k16.bmp,gestalt,,,0,20,20,15,,,,,,,3,3.502,,,,,,,2016_Oct_24_1105,59.9243641891,Gestalt_exp1,001,24355,
images/INVk03.bmp,inverted,,,0,21,21,61,,,,,,,3,4.052,,,,,,,2016_Oct_24_1105,59.9243641891,Gestalt_exp1,001,24355,
images/INVk04.bmp,inverted,,,0,22,22,62,,,,,,,2,4.686,,,,,,,2016_Oct_24_1105,59.9243641891,Gestalt_exp1,001,24355,
images/k13.bmp,gestalt,,,0,23,23,12,,,,,,,4,4.036,,,,,,,2016_Oct_24_1105,59.9243641891,Gestalt_exp1,001,24355,
images/i03.bmp,scrambled,,,0,24,24,32,,,,,,,2,2.435,,,,,,,2016_Oct_24_1105,59.9243641891,Gestalt_exp1,001,24355,
images/INVk01.bmp,inverted,,,0,25,25,60,,,,,,,2,3.202,,,,,,,2016_Oct_24_1105,59.9243641891,Gestalt_exp1,001,24355,
images/i08.bmp,scrambled,,,0,26,26,37,,,,,,,4,3.135,,,,,,,2016_Oct_24_1105,59.9243641891,Gestalt_exp1,001,24355,
images/k26.bmp,gestalt,,,0,27,27,25,,,,,,,3,2.836,,,,,,,2016_Oct_24_1105,59.9243641891,Gestalt_exp1,001,24355,
images/i26.bmp,scrambled,,,0,28,28,55,,,,,,,2,4.736,,,,,,,2016_Oct_24_1105,59.9243641891,Gestalt_exp1,001,24355,
images/i30.bmp,scrambled,,,0,29,29,59,,,,,,,3,2.785,,,,,,,2016_Oct_24_1105,59.9243641891,Gestalt_exp1,001,24355,
images/i07.bmp,scrambled,,,0,30,30,36,,,,,,,2,4.269,,,,,,,2016_Oct_24_1105,59.9243641891,Gestalt_exp1,001,24355,
images/i01.bmp,scrambled,,,0,31,31,30,,,,,,,2,3.452,,,,,,,2016_Oct_24_1105,59.9243641891,Gestalt_exp1,001,24355,
images/INVk06.bmp,inverted,,,0,32,32,64,,,,,,,3,2.968,,,,,,,2016_Oct_24_1105,59.9243641891,Gestalt_exp1,001,24355,
images/i02.bmp,scrambled,,,0,33,33,31,,,,,,,3,3.202,,,,,,,2016_Oct_24_1105,59.9243641891,Gestalt_exp1,001,24355,
images/k29.bmp,gestalt,,,0,34,34,28,,,,,,,2,3.036,,,,,,,2016_Oct_24_1105,59.9243641891,Gestalt_exp1,001,24355,
images/i28.bmp,scrambled,,,0,35,35,57,,,,,,,2,4.652,,,,,,,2016_Oct_24_1105,59.9243641891,Gestalt_exp1,001,24355,
images/i13.bmp,scrambled,,,0,36,36,42,,,,,,,3,2.435,,,,,,,2016_Oct_24_1105,59.9243641891,Gestalt_exp1,001,24355,
images/k05.bmp,gestalt,,,0,37,37,4,,,,,,,3,2.736,,,,,,,2016_Oct_24_1105,59.9243641891,Gestalt_exp1,001,24355,
images/INVk21.bmp,inverted,,,0,38,38,73,,,,,,,3,2.652,,,,,,,2016_Oct_24_1105,59.9243641891,Gestalt_exp1,001,24355,
images/k17.bmp,gestalt,,,0,39,39,16,,,,,,,2,3.118,,,,,,,2016_Oct_24_1105,59.9243641891,Gestalt_exp1,001,24355,
images/k07.bmp,gestalt,,,0,40,40,6,,,,,,,3,5.785,,,,,,,2016_Oct_24_1105,59.9243641891,Gestalt_exp1,001,24355,
images/i17.bmp,scrambled,,,0,41,41,46,,,,,,,2,2.519,,,,,,,2016_Oct_24_1105,59.9243641891,Gestalt_exp1,001,24355,
images/k30.bmp,gestalt,,,0,42,42,29,,,,,,,4,2.202,,,,,,,2016_Oct_24_1105,59.9243641891,Gestalt_exp1,001,24355,
images/INVk19.bmp,inverted,,,0,43,43,72,,,,,,,3,2.036,,,,,,,2016_Oct_24_1105,59.9243641891,Gestalt_exp1,001,24355,
images/i14.bmp,scrambled,,,0,44,44,43,,,,,,,2,2.252,,,,,,,2016_Oct_24_1105,59.9243641891,Gestalt_exp1,001,24355,
images/INVk12.bmp,inverted,,,0,45,45,67,,,,,,,2,2.502,,,,,,,2016_Oct_24_1105,59.9243641891,Gestalt_exp1,001,24355,
images/k15.bmp,gestalt,,,0,46,46,14,,,,,,,2,2.619,,,,,,,2016_Oct_24_1105,59.9243641891,Gestalt_exp1,001,24355,
images/i23.bmp,scrambled,,,0,47,47,52,,,,,,,2,2.369,,,,,,,2016_Oct_24_1105,59.9243641891,Gestalt_exp1,001,24355,
images/i09.bmp,scrambled,,,0,48,48,38,,,,,,,3,3.119,,,,,,,2016_Oct_24_1105,59.9243641891,Gestalt_exp1,001,24355,
images/i19.bmp,scrambled,,,0,49,49,48,,,,,,,2,3.036,,,,,,,2016_Oct_24_1105,59.9243641891,Gestalt_exp1,001,24355,
images/k22.bmp,gestalt,,,0,50,50,21,,,,,,,3,2.018,,,,,,,2016_Oct_24_1105,59.9243641891,Gestalt_exp1,001,24355,
images/k08.bmp,gestalt,,,0,51,51,7,,,,,,,3,2.536,,,,,,,2016_Oct_24_1105,59.9243641891,Gestalt_exp1,001,24355,
images/INVk29.bmp,inverted,,,0,52,52,81,,,,,,,2,2.102,,,,,,,2016_Oct_24_1105,59.9243641891,Gestalt_exp1,001,24355,
images/i15.bmp,scrambled,,,0,53,53,44,,,,,,,2,2.636,,,,,,,2016_Oct_24_1105,59.9243641891,Gestalt_exp1,001,24355,
images/i27.bmp,scrambled,,,0,54,54,56,,,,,,,3,3.369,,,,,,,2016_Oct_24_1105,59.9243641891,Gestalt_exp1,001,24355,
images/k24.bmp,gestalt,,,0,55,55,23,,,,,,,2,2.752,,,,,,,2016_Oct_24_1105,59.9243641891,Gestalt_exp1,001,24355,
images/k09.bmp,gestalt,,,0,56,56,8,,,,,,,3,2.635,,,,,,,2016_Oct_24_1105,59.9243641891,Gestalt_exp1,001,24355,
images/k19.bmp,gestalt,,,0,57,57,18,,,,,,,2,1.952,,,,,,,2016_Oct_24_1105,59.9243641891,Gestalt_exp1,001,24355,
images/INVk24.bmp,inverted,,,0,58,58,76,,,,,,,2,2.919,,,,,,,2016_Oct_24_1105,59.9243641891,Gestalt_exp1,001,24355,
images/k28.bmp,gestalt,,,0,59,59,27,,,,,,,2,8.051,,,,,,,2016_Oct_24_1105,59.9243641891,Gestalt_exp1,001,24355,
images/k21.bmp,gestalt,,,0,60,60,20,,,,,,,2,3.285,,,,,,,2016_Oct_24_1105,59.9243641891,Gestalt_exp1,001,24355,
images/i06.bmp,scrambled,,,0,61,61,35,,,,,,,3,2.918,,,,,,,2016_Oct_24_1105,59.9243641891,Gestalt_exp1,001,24355,
images/i24.bmp,scrambled,,,0,62,62,53,,,,,,,2,2.169,,,,,,,2016_Oct_24_1105,59.9243641891,Gestalt_exp1,001,24355,
images/INVk23.bmp,inverted,,,0,63,63,75,,,,,,,3,2.485,,,,,,,2016_Oct_24_1105,59.9243641891,Gestalt_exp1,001,24355,
images/i22.bmp,scrambled,,,0,64,64,51,,,,,,,3,2.669,,,,,,,2016_Oct_24_1105,59.9243641891,Gestalt_exp1,001,24355,
