images,condition,imgB,imgA,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,numLoop.thisRepN,numLoop.thisTrialN,numLoop.thisN,numLoop.thisIndex,response.keys,response.rt,rating.response,rating.rt,key_resp_2.keys,key_resp_2.rt,numResp.keys,numResp.corr,numResp.Alocation,numResp.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,space,86.8118710518,,,,,,,,,2016_Apr_28_1203,59.917858199,Gestalt_exp1,001,23086,
images/k15.bmp,gestalt,,,0,0,0,14,,,,,,,4,10.652,,,,,,,2016_Apr_28_1203,59.917858199,Gestalt_exp1,001,23086,
images/i09.bmp,scrambled,,,0,1,1,38,,,,,,,2,5.07,,,,,,,2016_Apr_28_1203,59.917858199,Gestalt_exp1,001,23086,
images/i08.bmp,scrambled,,,0,2,2,37,,,,,,,6,2.27,,,,,,,2016_Apr_28_1203,59.917858199,Gestalt_exp1,001,23086,
images/i22.bmp,scrambled,,,0,3,3,51,,,,,,,4,3.253,,,,,,,2016_Apr_28_1203,59.917858199,Gestalt_exp1,001,23086,
images/INVk22.bmp,inverted,,,0,4,4,74,,,,,,,4,3.986,,,,,,,2016_Apr_28_1203,59.917858199,Gestalt_exp1,001,23086,
images/k27.bmp,gestalt,,,0,5,5,26,,,,,,,7,2.136,,,,,,,2016_Apr_28_1203,59.917858199,Gestalt_exp1,001,23086,
images/i20.bmp,scrambled,,,0,6,6,49,,,,,,,7,1.851,,,,,,,2016_Apr_28_1203,59.917858199,Gestalt_exp1,001,23086,
images/INVk28.bmp,inverted,,,0,7,7,80,,,,,,,8,2.152,,,,,,,2016_Apr_28_1203,59.917858199,Gestalt_exp1,001,23086,
images/k20.bmp,gestalt,,,0,8,8,19,,,,,,,7,2.219,,,,,,,2016_Apr_28_1203,59.917858199,Gestalt_exp1,001,23086,
images/k30.bmp,gestalt,,,0,9,9,29,,,,,,,9,1.668,,,,,,,2016_Apr_28_1203,59.917858199,Gestalt_exp1,001,23086,
images/i19.bmp,scrambled,,,0,10,10,48,,,,,,,3,2.351,,,,,,,2016_Apr_28_1203,59.917858199,Gestalt_exp1,001,23086,
images/k28.bmp,gestalt,,,0,11,11,27,,,,,,,5,1.668,,,,,,,2016_Apr_28_1203,59.917858199,Gestalt_exp1,001,23086,
images/k25.bmp,gestalt,,,0,12,12,24,,,,,,,7,3.002,,,,,,,2016_Apr_28_1203,59.917858199,Gestalt_exp1,001,23086,
images/k05.bmp,gestalt,,,0,13,13,4,,,,,,,7,1.652,,,,,,,2016_Apr_28_1203,59.917858199,Gestalt_exp1,001,23086,
images/k12.bmp,gestalt,,,0,14,14,11,,,,,,,8,1.634,,,,,,,2016_Apr_28_1203,59.917858199,Gestalt_exp1,001,23086,
images/i10.bmp,scrambled,,,0,15,15,39,,,,,,,4,1.752,,,,,,,2016_Apr_28_1203,59.917858199,Gestalt_exp1,001,23086,
images/i18.bmp,scrambled,,,0,16,16,47,,,,,,,6,1.885,,,,,,,2016_Apr_28_1203,59.917858199,Gestalt_exp1,001,23086,
images/INVk15.bmp,inverted,,,0,17,17,69,,,,,,,7,2.468,,,,,,,2016_Apr_28_1203,59.917858199,Gestalt_exp1,001,23086,
images/i12.bmp,scrambled,,,0,18,18,41,,,,,,,6,2.352,,,,,,,2016_Apr_28_1203,59.917858199,Gestalt_exp1,001,23086,
images/k18.bmp,gestalt,,,0,19,19,17,,,,,,,8,1.285,,,,,,,2016_Apr_28_1203,59.917858199,Gestalt_exp1,001,23086,
images/k01.bmp,gestalt,,,0,20,20,0,,,,,,,8,1.636,,,,,,,2016_Apr_28_1203,59.917858199,Gestalt_exp1,001,23086,
images/i23.bmp,scrambled,,,0,21,21,52,,,,,,,5,1.285,,,,,,,2016_Apr_28_1203,59.917858199,Gestalt_exp1,001,23086,
images/i07.bmp,scrambled,,,0,22,22,36,,,,,,,4,2.085,,,,,,,2016_Apr_28_1203,59.917858199,Gestalt_exp1,001,23086,
images/INVk26.bmp,inverted,,,0,23,23,78,,,,,,,7,1.336,,,,,,,2016_Apr_28_1203,59.917858199,Gestalt_exp1,001,23086,
