images,condition,imgB,imgA,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,numLoop.thisRepN,numLoop.thisTrialN,numLoop.thisN,numLoop.thisIndex,response.keys,response.rt,rating.response,rating.rt,key_resp_2.keys,key_resp_2.rt,numResp.keys,numResp.corr,numResp.Alocation,numResp.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,space,67.2473158836,,,,,,,,,2016_Oct_03_1558,59.9240217334,Gestalt_exp1,001,23854,
images/i18.bmp,scrambled,,,0,0,0,47,,,,,,,1,8.535,,,,,,,2016_Oct_03_1558,59.9240217334,Gestalt_exp1,001,23854,
images/INVk27.bmp,inverted,,,0,1,1,79,,,,,,,1,5.519,,,,,,,2016_Oct_03_1558,59.9240217334,Gestalt_exp1,001,23854,
images/INVk24.bmp,inverted,,,0,2,2,76,,,,,,,3,7.102,,,,,,,2016_Oct_03_1558,59.9240217334,Gestalt_exp1,001,23854,
images/INVk16.bmp,inverted,,,0,3,3,70,,,,,,,3,2.67,,,,,,,2016_Oct_03_1558,59.9240217334,Gestalt_exp1,001,23854,
images/k16.bmp,gestalt,,,0,4,4,15,,,,,,,3,4.036,,,,,,,2016_Oct_03_1558,59.9240217334,Gestalt_exp1,001,23854,
images/INVk26.bmp,inverted,,,0,5,5,78,,,,,,,3,3.869,,,,,,,2016_Oct_03_1558,59.9240217334,Gestalt_exp1,001,23854,
images/INVk25.bmp,inverted,,,0,6,6,77,,,,,,,3,2.986,,,,,,,2016_Oct_03_1558,59.9240217334,Gestalt_exp1,001,23854,
images/k13.bmp,gestalt,,,0,7,7,12,,,,,,,4,4.219,,,,,,,2016_Oct_03_1558,59.9240217334,Gestalt_exp1,001,23854,
images/INVk21.bmp,inverted,,,0,8,8,73,,,,,,,3,1.936,,,,,,,2016_Oct_03_1558,59.9240217334,Gestalt_exp1,001,23854,
images/k15.bmp,gestalt,,,0,9,9,14,,,,,,,3,1.669,,,,,,,2016_Oct_03_1558,59.9240217334,Gestalt_exp1,001,23854,
images/k28.bmp,gestalt,,,0,10,10,27,,,,,,,3,1.736,,,,,,,2016_Oct_03_1558,59.9240217334,Gestalt_exp1,001,23854,
images/i24.bmp,scrambled,,,0,11,11,53,,,,,,,3,2.103,,,,,,,2016_Oct_03_1558,59.9240217334,Gestalt_exp1,001,23854,
images/i13.bmp,scrambled,,,0,12,12,42,,,,,,,3,2.252,,,,,,,2016_Oct_03_1558,59.9240217334,Gestalt_exp1,001,23854,
images/INVk03.bmp,inverted,,,0,13,13,61,,,,,,,4,2.086,,,,,,,2016_Oct_03_1558,59.9240217334,Gestalt_exp1,001,23854,
images/i22.bmp,scrambled,,,0,14,14,51,,,,,,,3,1.869,,,,,,,2016_Oct_03_1558,59.9240217334,Gestalt_exp1,001,23854,
images/k25.bmp,gestalt,,,0,15,15,24,,,,,,,3,1.536,,,,,,,2016_Oct_03_1558,59.9240217334,Gestalt_exp1,001,23854,
images/k12.bmp,gestalt,,,0,16,16,11,,,,,,,4,4.968,,,,,,,2016_Oct_03_1558,59.9240217334,Gestalt_exp1,001,23854,
images/i21.bmp,scrambled,,,0,17,17,50,,,,,,,3,1.552,,,,,,,2016_Oct_03_1558,59.9240217334,Gestalt_exp1,001,23854,
images/INVk19.bmp,inverted,,,0,18,18,72,,,,,,,3,1.868,,,,,,,2016_Oct_03_1558,59.9240217334,Gestalt_exp1,001,23854,
images/i09.bmp,scrambled,,,0,19,19,38,,,,,,,3,1.502,,,,,,,2016_Oct_03_1558,59.9240217334,Gestalt_exp1,001,23854,
images/i16.bmp,scrambled,,,0,20,20,45,,,,,,,3,1.819,,,,,,,2016_Oct_03_1558,59.9240217334,Gestalt_exp1,001,23854,
images/INVk18.bmp,inverted,,,0,21,21,71,,,,,,,3,1.802,,,,,,,2016_Oct_03_1558,59.9240217334,Gestalt_exp1,001,23854,
images/i20.bmp,scrambled,,,0,22,22,49,,,,,,,3,2.103,,,,,,,2016_Oct_03_1558,59.9240217334,Gestalt_exp1,001,23854,
images/i01.bmp,scrambled,,,0,23,23,30,,,,,,,3,3.002,,,,,,,2016_Oct_03_1558,59.9240217334,Gestalt_exp1,001,23854,
images/i07.bmp,scrambled,,,0,24,24,36,,,,,,,3,2.636,,,,,,,2016_Oct_03_1558,59.9240217334,Gestalt_exp1,001,23854,
images/k22.bmp,gestalt,,,0,25,25,21,,,,,,,3,3.002,,,,,,,2016_Oct_03_1558,59.9240217334,Gestalt_exp1,001,23854,
images/INVk23.bmp,inverted,,,0,26,26,75,,,,,,,3,2.236,,,,,,,2016_Oct_03_1558,59.9240217334,Gestalt_exp1,001,23854,
images/INVk22.bmp,inverted,,,0,27,27,74,,,,,,,3,1.385,,,,,,,2016_Oct_03_1558,59.9240217334,Gestalt_exp1,001,23854,
