images,condition,imgB,imgA,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,numLoop.thisRepN,numLoop.thisTrialN,numLoop.thisN,numLoop.thisIndex,response.keys,response.rt,rating.response,rating.rt,key_resp_2.keys,key_resp_2.rt,numResp.keys,numResp.corr,numResp.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,space,80.6120145157,,,,,,,,2016_mrt_24_1503,59.036854518,Gestalt_exp1,001,P2,
images/i22.bmp,scrambled,,,0,0,0,51,,,,,,,5,4.913,,,,,,2016_mrt_24_1503,59.036854518,Gestalt_exp1,001,P2,
images/k09.bmp,gestalt,,,0,1,1,8,,,,,,,4,2.66,,,,,,2016_mrt_24_1503,59.036854518,Gestalt_exp1,001,P2,
images/INVk04.bmp,inverted,,,0,2,2,62,,,,,,,5,1.628,,,,,,2016_mrt_24_1503,59.036854518,Gestalt_exp1,001,P2,
images/k18.bmp,gestalt,,,0,3,3,17,,,,,,,5,2.193,,,,,,2016_mrt_24_1503,59.036854518,Gestalt_exp1,001,P2,
images/k24.bmp,gestalt,,,0,4,4,23,,,,,,,3,10.311,,,,,,2016_mrt_24_1503,59.036854518,Gestalt_exp1,001,P2,
images/i17.bmp,scrambled,,,0,5,5,46,,,,,,,2,2.081,,,,,,2016_mrt_24_1503,59.036854518,Gestalt_exp1,001,P2,
images/INVk09.bmp,inverted,,,0,6,6,65,,,,,,,4,4.171,,,,,,2016_mrt_24_1503,59.036854518,Gestalt_exp1,001,P2,
images/INVk12.bmp,inverted,,,0,7,7,67,,,,,,,5,1.714,,,,,,2016_mrt_24_1503,59.036854518,Gestalt_exp1,001,P2,
images/INVk15.bmp,inverted,,,0,8,8,69,,,,,,,5,1.529,,,,,,2016_mrt_24_1503,59.036854518,Gestalt_exp1,001,P2,
images/k14.bmp,gestalt,,,0,9,9,13,,,,,,,5,2.274,,,,,,2016_mrt_24_1503,59.036854518,Gestalt_exp1,001,P2,
images/i03.bmp,scrambled,,,0,10,10,32,,,,,,,3,2.584,,,,,,2016_mrt_24_1503,59.036854518,Gestalt_exp1,001,P2,
images/i28.bmp,scrambled,,,0,11,11,57,,,,,,,4,3.064,,,,,,2016_mrt_24_1503,59.036854518,Gestalt_exp1,001,P2,
images/INVk29.bmp,inverted,,,0,12,12,81,,,,,,,4,3.588,,,,,,2016_mrt_24_1503,59.036854518,Gestalt_exp1,001,P2,
images/INVk23.bmp,inverted,,,0,13,13,75,,,,,,,5,1.711,,,,,,2016_mrt_24_1503,59.036854518,Gestalt_exp1,001,P2,
images/i09.bmp,scrambled,,,0,14,14,38,,,,,,,5,1.595,,,,,,2016_mrt_24_1503,59.036854518,Gestalt_exp1,001,P2,
images/k10.bmp,gestalt,,,0,15,15,9,,,,,,,5,1.744,,,,,,2016_mrt_24_1503,59.036854518,Gestalt_exp1,001,P2,
images/i11.bmp,scrambled,,,0,16,16,40,,,,,,,5,3.084,,,,,,2016_mrt_24_1503,59.036854518,Gestalt_exp1,001,P2,
images/INVk25.bmp,inverted,,,0,17,17,77,,,,,,,6,5.19,,,,,,2016_mrt_24_1503,59.036854518,Gestalt_exp1,001,P2,
images/INVk03.bmp,inverted,,,0,18,18,61,,,,,,,3,4.792,,,,,,2016_mrt_24_1503,59.036854518,Gestalt_exp1,001,P2,
images/INVk24.bmp,inverted,,,0,19,19,76,,,,,,,3,2.438,,,,,,2016_mrt_24_1503,59.036854518,Gestalt_exp1,001,P2,
images/INVk30.bmp,inverted,,,0,20,20,82,,,,,,,4,2.099,,,,,,2016_mrt_24_1503,59.036854518,Gestalt_exp1,001,P2,
images/INVk21.bmp,inverted,,,0,21,21,73,,,,,,,3,3.153,,,,,,2016_mrt_24_1503,59.036854518,Gestalt_exp1,001,P2,
images/i21.bmp,scrambled,,,0,22,22,50,,,,,,,4,2.847,,,,,,2016_mrt_24_1503,59.036854518,Gestalt_exp1,001,P2,
images/i13.bmp,scrambled,,,0,23,23,42,,,,,,,4,1.984,,,,,,2016_mrt_24_1503,59.036854518,Gestalt_exp1,001,P2,
images/i07.bmp,scrambled,,,0,24,24,36,,,,,,,5,1.468,,,,,,2016_mrt_24_1503,59.036854518,Gestalt_exp1,001,P2,
images/k05.bmp,gestalt,,,0,25,25,4,,,,,,,4,1.564,,,,,,2016_mrt_24_1503,59.036854518,Gestalt_exp1,001,P2,
images/INVk16.bmp,inverted,,,0,26,26,70,,,,,,,5,2.389,,,,,,2016_mrt_24_1503,59.036854518,Gestalt_exp1,001,P2,
images/INVk22.bmp,inverted,,,0,27,27,74,,,,,,,4,1.73,,,,,,2016_mrt_24_1503,59.036854518,Gestalt_exp1,001,P2,
images/i26.bmp,scrambled,,,0,28,28,55,,,,,,,5,2.083,,,,,,2016_mrt_24_1503,59.036854518,Gestalt_exp1,001,P2,
images/INVk18.bmp,inverted,,,0,29,29,71,,,,,,,5,1.376,,,,,,2016_mrt_24_1503,59.036854518,Gestalt_exp1,001,P2,
images/k11.bmp,gestalt,,,0,30,30,10,,,,,,,5,2.407,,,,,,2016_mrt_24_1503,59.036854518,Gestalt_exp1,001,P2,
images/k07.bmp,gestalt,,,0,31,31,6,,,,,,,5,1.758,,,,,,2016_mrt_24_1503,59.036854518,Gestalt_exp1,001,P2,
images/i24.bmp,scrambled,,,0,32,32,53,,,,,,,4,1.759,,,,,,2016_mrt_24_1503,59.036854518,Gestalt_exp1,001,P2,
images/k01.bmp,gestalt,,,0,33,33,0,,,,,,,5,1.323,,,,,,2016_mrt_24_1503,59.036854518,Gestalt_exp1,001,P2,
images/i19.bmp,scrambled,,,0,34,34,48,,,,,,,5,1.32,,,,,,2016_mrt_24_1503,59.036854518,Gestalt_exp1,001,P2,
