images,condition,imgB,imgA,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,numLoop.thisRepN,numLoop.thisTrialN,numLoop.thisN,numLoop.thisIndex,response.keys,response.rt,rating.response,rating.rt,key_resp_2.keys,key_resp_2.rt,numResp.keys,numResp.corr,numResp.rt,date,frameRate,expName,session,participant,
images/k17.bmp,gestalt,,,0,38,38,16,,,,,,,7,1.684,,,,,,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
images/i26.bmp,scrambled,,,0,39,39,55,,,,,,,7,1.514,,,,,,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
images/INVk05.bmp,inverted,,,0,40,40,63,,,,,,,4,3.637,,,,,,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
images/i01.bmp,scrambled,,,0,41,41,30,,,,,,,6,2.693,,,,,,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
images/INVk10.bmp,inverted,,,0,42,42,66,,,,,,,5,2.722,,,,,,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
images/i29.bmp,scrambled,,,0,43,43,58,,,,,,,4,1.769,,,,,,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
images/INVk01.bmp,inverted,,,0,44,44,60,,,,,,,6,2.942,,,,,,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
images/INVk14.bmp,inverted,,,0,45,45,68,,,,,,,4,1.82,,,,,,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
images/INVk09.bmp,inverted,,,0,46,46,65,,,,,,,4,1.922,,,,,,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
images/i08.bmp,scrambled,,,0,47,47,37,,,,,,,5,1.752,,,,,,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
images/k27.bmp,gestalt,,,0,48,48,26,,,,,,,7,1.415,,,,,,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
images/i19.bmp,scrambled,,,0,49,49,48,,,,,,,6,2.17,,,,,,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
images/i20.bmp,scrambled,,,0,50,50,49,,,,,,,4,3.209,,,,,,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
images/k21.bmp,gestalt,,,0,51,51,20,,,,,,,5,1.602,,,,,,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
images/k23.bmp,gestalt,,,0,52,52,22,,,,,,,6,1.449,,,,,,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
images/i06.bmp,scrambled,,,0,53,53,35,,,,,,,6,1.277,,,,,,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
images/i21.bmp,scrambled,,,0,54,54,50,,,,,,,6,1.259,,,,,,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
images/k30.bmp,gestalt,,,0,55,55,29,,,,,,,4,3.541,,,,,,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
images/k12.bmp,gestalt,,,0,56,56,11,,,,,,,4,1.751,,,,,,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
images/i27.bmp,scrambled,,,0,57,57,56,,,,,,,8,1.666,,,,,,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
images/INVk23.bmp,inverted,,,0,58,58,75,,,,,,,7,1.629,,,,,,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
images/INVk19.bmp,inverted,,,0,59,59,72,,,,,,,5,1.62,,,,,,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
images/INVk03.bmp,inverted,,,0,60,60,61,,,,,,,4,1.38,,,,,,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
images/i28.bmp,scrambled,,,0,61,61,57,,,,,,,8,3.086,,,,,,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
images/i23.bmp,scrambled,,,0,62,62,52,,,,,,,7,1.769,,,,,,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
images/k01.bmp,gestalt,,,0,63,63,0,,,,,,,4,1.483,,,,,,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
images/INVk21.bmp,inverted,,,0,64,64,73,,,,,,,4,1.857,,,,,,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
images/k20.bmp,gestalt,,,0,65,65,19,,,,,,,3,1.398,,,,,,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
images/k19.bmp,gestalt,,,0,66,66,18,,,,,,,5,1.463,,,,,,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
images/k15.bmp,gestalt,,,0,67,67,14,,,,,,,7,1.912,,,,,,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
images/INVk28.bmp,inverted,,,0,68,68,80,,,,,,,4,1.295,,,,,,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
images/INVk18.bmp,inverted,,,0,69,69,71,,,,,,,6,1.504,,,,,,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
images/k28.bmp,gestalt,,,0,70,70,27,,,,,,,4,1.554,,,,,,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
images/INVk22.bmp,inverted,,,0,71,71,74,,,,,,,6,1.365,,,,,,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
