images,condition,imgB,imgA,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,numLoop.thisRepN,numLoop.thisTrialN,numLoop.thisN,numLoop.thisIndex,response.keys,response.rt,rating.response,rating.rt,key_resp_2.keys,key_resp_2.rt,numResp.keys,numResp.corr,numResp.Alocation,numResp.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,space,67.9497411251,,,,,,,,,2016_Oct_24_1707,59.9232512222,Gestalt_exp1,001,25273,
images/INVk10.bmp,inverted,,,0,0,0,66,,,,,,,3,5.819,,,,,,,2016_Oct_24_1707,59.9232512222,Gestalt_exp1,001,25273,
images/k01.bmp,gestalt,,,0,1,1,0,,,,,,,4,4.454,,,,,,,2016_Oct_24_1707,59.9232512222,Gestalt_exp1,001,25273,
images/k03.bmp,gestalt,,,0,2,2,2,,,,,,,7,2.019,,,,,,,2016_Oct_24_1707,59.9232512222,Gestalt_exp1,001,25273,
images/INVk12.bmp,inverted,,,0,3,3,67,,,,,,,6,2.585,,,,,,,2016_Oct_24_1707,59.9232512222,Gestalt_exp1,001,25273,
images/i13.bmp,scrambled,,,0,4,4,42,,,,,,,3,3.519,,,,,,,2016_Oct_24_1707,59.9232512222,Gestalt_exp1,001,25273,
images/k24.bmp,gestalt,,,0,5,5,23,,,,,,,2,2.536,,,,,,,2016_Oct_24_1707,59.9232512222,Gestalt_exp1,001,25273,
images/k26.bmp,gestalt,,,0,6,6,25,,,,,,,7,2.502,,,,,,,2016_Oct_24_1707,59.9232512222,Gestalt_exp1,001,25273,
images/k04.bmp,gestalt,,,0,7,7,3,,,,,,,6,2.252,,,,,,,2016_Oct_24_1707,59.9232512222,Gestalt_exp1,001,25273,
images/i18.bmp,scrambled,,,0,8,8,47,,,,,,,3,2.586,,,,,,,2016_Oct_24_1707,59.9232512222,Gestalt_exp1,001,25273,
images/INVk06.bmp,inverted,,,0,9,9,64,,,,,,,5,3.352,,,,,,,2016_Oct_24_1707,59.9232512222,Gestalt_exp1,001,25273,
images/i28.bmp,scrambled,,,0,10,10,57,,,,,,,3,2.169,,,,,,,2016_Oct_24_1707,59.9232512222,Gestalt_exp1,001,25273,
images/i26.bmp,scrambled,,,0,11,11,55,,,,,,,5,3.269,,,,,,,2016_Oct_24_1707,59.9232512222,Gestalt_exp1,001,25273,
